trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-28.752379743917537,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-61.63589918964119,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-186.37044902596514,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-29.02072907360558,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-53.015512451057106,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-146.38678630486928,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,2,-31.009384638867964,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,11,-27.2061011469578,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-79.38851682960328,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-74.77960171057059,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,13,-12.748422793138763,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,3,-15.43912725558825,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,19.008459524708577,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-128.18971039031226,"{0: 16, 1: 0, 2: 5, 3: 3, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,11,-45.61780829723131,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-60.912193610207886,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-153.5893767127362,"{0: 17, 1: 2, 2: 1, 3: 2, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,6,1.161871829733427,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-36.77840236121584,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,9,-12.033962528624635,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,3,24.1887849995752,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,3,-23.26552833135744,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-25.29456143003441,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-5.632479541087163,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,1,-40.03575942093942,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 1}",1
6,True,"{'a': 0.0, 'e': 0.0}",30,10,4.9879981629932075,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,14,11.922832188169767,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-22.040283086875455,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-24.210794764031746,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,16,5.307823695878798,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
