trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.002, 'e': 0.9980019986673331}",25,5,-138.95328300918453,"{0: 7, 1: 4, 2: 7, 3: 1, 4: 1}",1
2,False,"{'a': 0.002, 'e': 0.9960079893439915}",20,0,-60.04248845681884,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.002, 'e': 0.9940179640539353}",20,0,-140.51487441972873,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
4,False,"{'a': 0.002, 'e': 0.9920319148370607}",30,0,-106.31305757375979,"{0: 20, 1: 3, 2: 3, 3: 4, 4: 0}",0
5,False,"{'a': 0.002, 'e': 0.9900498337491681}",25,0,-176.2527655901162,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
6,False,"{'a': 0.002, 'e': 0.9880717128619305}",25,0,-74.42513664828573,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.002, 'e': 0.9860975442628619}",20,0,-52.61290650409501,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.002, 'e': 0.9841273200552851}",25,0,-113.91814112406709,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.002, 'e': 0.9821610323583008}",30,2,-105.11145041198768,"{0: 18, 1: 1, 2: 6, 3: 3, 4: 0}",1
10,False,"{'a': 0.002, 'e': 0.9801986733067553}",20,0,-113.09923314373285,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
11,False,"{'a': 0.002, 'e': 0.97824023505121}",20,7,-65.87466853762716,"{0: 6, 1: 2, 2: 4, 3: 1, 4: 0}",1
12,False,"{'a': 0.002, 'e': 0.9762857097579093}",20,0,-145.10549797028233,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
13,False,"{'a': 0.002, 'e': 0.9743350896087494}",20,0,-68.7789564870032,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.002, 'e': 0.9723883668012469}",20,12,-7.934644972580321,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
15,False,"{'a': 0.002, 'e': 0.9704455335485082}",20,0,-68.85439100004743,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
16,False,"{'a': 0.002, 'e': 0.9685065820791976}",25,0,-121.79767141225436,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.002, 'e': 0.9665715046375066}",35,0,-83.3997752655958,"{0: 25, 1: 3, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.002, 'e': 0.9646402934831231}",25,0,-13.604182021636078,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
19,False,"{'a': 0.002, 'e': 0.9627129408911995}",25,0,-148.55476237964524,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",1
20,False,"{'a': 0.002, 'e': 0.9607894391523232}",20,0,-133.474443059329,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
21,False,"{'a': 0.002, 'e': 0.9588697805724845}",30,0,-166.22961458540175,"{0: 18, 1: 3, 2: 6, 3: 0, 4: 3}",0
22,False,"{'a': 0.002, 'e': 0.9569539574730467}",30,0,-195.04554179654602,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
