trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",30,0,-235.89843459136037,"{0: 14, 1: 8, 2: 3, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-183.88572870303486,"{0: 19, 1: 6, 2: 7, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-143.18045912022313,"{0: 16, 1: 4, 2: 8, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-175.0975000538331,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.16484389651546,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,9,-52.491913951168925,"{0: 11, 1: 0, 2: 3, 3: 2, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.28404779413992,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.85929388546997,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.6905097458074,"{0: 8, 1: 5, 2: 4, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,15,-59.61536569978568,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-129.6257835792933,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-156.35207803295495,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-110.84060602187346,"{0: 14, 1: 1, 2: 8, 3: 2, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-287.21795941130574,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 6}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-68.25354727851388,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.16760772298323,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-131.35944001062478,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.57949435754097,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.60830063254119,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.61762426778012,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-142.22654535234724,"{0: 11, 1: 5, 2: 7, 3: 1, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-32.06611478266811,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-48.651866340494415,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-204.69786624701374,"{0: 15, 1: 6, 2: 4, 3: 2, 4: 3}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,9,-121.5462418990979,"{0: 9, 1: 1, 2: 3, 3: 1, 4: 2}",1
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-137.3910810153453,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-167.00681518907922,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-100.66791971245644,"{0: 15, 1: 1, 2: 7, 3: 2, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,7,-146.52273209755774,"{0: 4, 1: 3, 2: 2, 3: 2, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-64.94077972530985,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
