,0,1,2,3,4
0,199.62,1738.71,356.31,165.35,2.71
1,199.62,1738.71,346.53,165.35,2.71
2,128.12,221.71,178.24,211.85,3.5
3,128.12,221.71,170.26,211.85,3.5
4,203.41,882.46,336.5,196.16,3.21
5,204.84,998.96,336.5,176.53,2.92
6,206.62,736.21,353.54,117.53,1.92
7,206.62,736.21,353.54,169.16,2.75
8,203.12,2841.46,384.71,202.16,3.35
9,203.12,8522.96,454.77,154.53,2.55
10,209.62,2311.21,373.3,192.53,3.18
11,209.62,2311.21,373.3,206.16,3.34
12,199.12,7819.96,437.22,194.35,3.22
13,199.12,2723.46,379.49,194.35,3.22
14,200.62,831.21,356.93,171.53,2.82
15,200.62,831.21,329.38,175.16,2.82
16,200.62,1598.21,347.41,194.85,3.22
17,200.62,1598.21,344.85,194.85,3.22
18,206.62,1302.71,380.83,170.53,2.8
19,206.62,1302.71,379.74,203.16,3.35
20,211.12,2106.46,398.49,182.35,3.01
21,211.12,3026.96,419.53,182.35,3.01
22,209.84,1980.21,399.39,176.16,2.92
23,174.41,1980.21,399.39,161.53,2.66
24,175.41,634.21,323.9,206.85,3.39
25,212.84,634.21,284.87,206.85,3.39
26,176.41,2161.46,376.6,206.16,3.42
27,207.84,2361.96,334.25,175.53,2.89
